Unnamed: 0,img,doctor,M1,M2,M3,M4,M5,experience,spearman,spearman_p,is_constant_rating,top_models
110,350_HC.png,Doc_D,4,4,4,5,5,junior,0.8660254037844386,0.05766888562243733,False,"['M4', 'M5']"
111,712_2HC.png,Doc_D,4,4,4,5,4,junior,0.35355339059327373,0.5594043441634877,False,['M4']
112,058_HC.png,Doc_D,1,4,4,5,5,junior,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
113,072_HC.png,Doc_D,4,4,5,4,4,junior,0.0,1.0,False,['M3']
114,719_HC.png,Doc_D,2,4,4,4,5,junior,0.8944271909999159,0.040519326353834,False,['M5']
115,352_2HC.png,Doc_D,4,5,5,5,5,junior,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
116,375_HC.png,Doc_D,5,5,5,5,5,junior,,,True,"['M1', 'M2', 'M3', 'M4', 'M5']"
117,057_HC.png,Doc_D,4,5,5,4,4,junior,-0.28867513459481287,0.6376180914006018,False,"['M2', 'M3']"
118,035_HC.png,Doc_D,2,5,4,4,5,junior,0.5270462766947298,0.3614548502018728,False,"['M2', 'M5']"
119,357_HC.png,Doc_D,3,4,5,5,5,junior,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
120,708_HC.png,Doc_E,3,4,4,5,5,non-expert,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
121,110_HC.png,Doc_E,1,2,3,5,5,non-expert,0.9746794344808963,0.004818230468198566,False,"['M4', 'M5']"
122,089_HC.png,Doc_E,1,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
123,592_HC.png,Doc_E,2,3,4,3,3,non-expert,0.4472135954999579,0.45018485575210093,False,['M3']
124,380_HC.png,Doc_E,1,1,1,4,3,non-expert,0.7826237921249264,0.11761376087345808,False,['M4']
125,771_HC.png,Doc_E,3,4,5,5,5,non-expert,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
126,519_HC.png,Doc_E,2,4,4,5,5,non-expert,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
127,561_2HC.png,Doc_E,3,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
128,439_HC.png,Doc_E,3,4,5,5,5,non-expert,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
129,493_HC.png,Doc_E,3,5,5,4,4,non-expert,0.10540925533894598,0.8660377229253148,False,"['M2', 'M3']"
130,473_HC.png,Doc_E,3,4,5,5,5,non-expert,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
131,510_HC.png,Doc_E,3,4,4,5,5,non-expert,0.9486832980505137,0.013846832988859107,False,"['M4', 'M5']"
132,512_HC.png,Doc_E,2,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
